timestamp,symbol,category,open,high,low,close,volume
2022-01-01,AAPL,Technology,184.21,184.21,145.28,172.27,9608.0
2022-01-02,AAPL,Technology,173.39,185.53,157.72,172.14,10265.0
2022-01-03,AAPL,Technology,155.8,155.8,110.77,141.92,19974.0
2022-01-04,AAPL,Technology,119.82,172.54,119.82,137.3,12816.0
2022-01-05,AAPL,Technology,162.44,162.44,162.44,161.86,44010.0
2022-01-06,AAPL,Technology,143.82,146.98,143.76,144.14,13172.0
2022-01-07,AAPL,Technology,121.26,142.22,121.26,127.49,20669.0
2022-01-08,AAPL,Technology,148.13,162.31,117.29,142.91,14750.0
2022-01-09,AAPL,Technology,142.53,155.89,142.53,148.77,45822.0
2022-01-10,AAPL,Technology,164.86,164.86,125.63,151.7,20272.0
2022-01-11,AAPL,Technology,135.84,307.6973813207364,131.95,149.71,95226.0
2022-01-12,AAPL,Technology,129.89,159.73,129.89,,
2022-01-13,AAPL,Technology,150.31,169.12,147.22,156.93,19569.0
2022-01-14,AAPL,Technology,159.13,159.13,146.49,155.89,44356.0
2022-01-15,AAPL,Technology,171.21,171.21,171.21,171.3,42970.0
2022-01-16,AAPL,Technology,172.94,172.94,137.33,161.49,47304.0
2022-01-17,AAPL,Technology,159.03,159.03,146.35,153.31,8848.0
2022-01-18,AAPL,Technology,123.1,170.85,123.1,139.01,29613.0
2022-01-19,AAPL,Technology,126.44,129.15,126.44,127.29,45622.0
2022-01-20,AAPL,Technology,154.17,154.17,149.14,,
2022-01-21,AAPL,Technology,111.13,153.34,111.13,124.36,49337.0
2022-01-22,AAPL,Technology,163.52,163.52,145.95,158.68,22153.0
2022-01-23,AAPL,Technology,162.86,162.86,148.07,158.21,41706.0
2022-01-24,AAPL,Technology,148.97,148.97,128.8,141.03,38452.0
2022-01-25,AAPL,Technology,169.61,185.55,147.19,169.06,8013.0
2022-01-26,AAPL,Technology,148.16,151.21,148.16,,
2022-01-27,AAPL,Technology,136.24,152.45,124.9,137.83,20993.0
2022-01-28,AAPL,Technology,154.06,154.06,125.33,145.27,12720.0
2022-01-29,AAPL,Technology,136.02,147.44,116.94,133.33,31353.0
2022-01-30,AAPL,Technology,171.25,171.25,117.67,154.24,21077.0
2022-01-31,AAPL,Technology,184.07,184.07,114.2,161.34,18995.0
2022-02-01,AAPL,Technology,178.87,178.87,137.26,165.34,4614.0
2022-02-02,AAPL,Technology,138.34,192.07,138.34,156.5,25446.0
2022-02-03,AAPL,Technology,140.03,152.87,140.03,143.57,7127.0
2022-02-04,AAPL,Technology,142.51,142.51,106.22,130.77,41285.0
2022-02-05,AAPL,Technology,171.91,171.91,171.91,172.65,3635.0
2022-02-06,AAPL,Technology,164.05,164.05,164.05,164.91,28654.0
2022-02-07,AAPL,Technology,156.58,156.58,137.65,149.6,40135.0
2022-02-08,AAPL,Technology,148.61,166.87,143.25,154.18,39777.0
2022-02-09,AAPL,Technology,151.52,151.52,151.52,151.56,1200.0
2022-02-10,AAPL,Technology,148.2,148.2,125.53,140.38,36626.0
2022-02-11,AAPL,Technology,134.13,197.33,134.13,155.35,44160.0
2022-02-12,AAPL,Technology,167.95,167.95,134.69,157.21,16526.0
2022-02-13,AAPL,Technology,151.01,173.14,151.01,157.5,4061.0
2022-02-14,AAPL,Technology,169.37,169.37,169.37,169.94,30914.0
2022-02-15,AAPL,Technology,193.92,193.92,133.28,174.62,47561.0
